Município: GUARANTA DO NORTE, (null), Latitude: None, Longitude: None
Município: NOVA ESPERANCA, PR, Latitude: -23.1818437, Longitude: -52.1999852
Município: NOVA LARANJEIRAS, PR, Latitude: -25.305376, Longitude: -52.544682
Município: PORTO AMAZONAS, PR, Latitude: -25.5494226, Longitude: -49.8973805
Município: PRANCHITA, PR, Latitude: -26.0209403, Longitude: -53.7396825
Município: TUNEIRAS DO OESTE, PR, Latitude: -23.8672329, Longitude: -52.8749376
Município: SANTA TEREZA DO OESTE, PR, Latitude: -25.0511956, Longitude: -53.6161834
Município: SANTO ANTONIO DA PLATINA, PR, Latitude: -23.2957157, Longitude: -50.0778957
Município: SANTO ANTONIO DO SUDOESTE, PR, Latitude: -26.0727118, Longitude: -53.725556
Município: SAO JOSE DOS PINHAIS, PR, Latitude: -25.533816, Longitude: -49.2072163
Município: SAO MATEUS DO SUL, PR, Latitude: -25.866823, Longitude: -50.382796
Município: SAO MIGUEL DO IGUACU, PR, Latitude: -25.349171, Longitude: -54.240498
Município: SARANDI, PR, Latitude: -23.444117, Longitude: -51.876016
Município: SAUDADE DO IGUACU, PR, Latitude: -25.6915533, Longitude: -52.6184857
Município: SERTANOPOLIS, PR, Latitude: -23.0600434, Longitude: -51.0373544
Município: SULINA, PR, Latitude: -25.7001327, Longitude: -52.7207833
Município: TEIXEIRA SOARES, PR, Latitude: -25.3719287, Longitude: -50.4586285
Município: TELEMACO BORBA, PR, Latitude: -24.3282939, Longitude: -50.6318021
Município: TERRA ROXA, PR, Latitude: -24.1670468, Longitude: -54.097432
Município: TIBAGI, PR, Latitude: -24.5151667, Longitude: -50.4101487
Município: TIJUCAS DO SUL, PR, Latitude: -25.9273376, Longitude: -49.179265
Município: TOLEDO, PR, Latitude: -24.7222438, Longitude: -53.7402476
Município: SANTA TEREZINHA DE ITAIPU, PR, Latitude: -25.4390809, Longitude: -54.4019902
Município: SANTA MARIANA, PR, Latitude: -23.1499367, Longitude: -50.5199587
Município: PRESIDENTE CASTELO BRANCO, PR, Latitude: -23.2790844, Longitude: -52.1528771
Município: SANTA MARIA DO OESTE, PR, Latitude: -24.9392355, Longitude: -51.8712242
Município: PRUDENTOPOLIS, PR, Latitude: -25.203358, Longitude: -50.9895774
Município: QUATRO BARRAS, PR, Latitude: -25.3708987, Longitude: -49.0745672
Município: QUATRO PONTES, PR, Latitude: -24.5741062, Longitude: -53.9780237
Município: QUITANDINHA, PR, Latitude: -25.8737269, Longitude: -49.4977717
Município: RAMILANDIA, PR, Latitude: -25.1190203, Longitude: -54.0301175
Município: RANCHO ALEGRE DOESTE, PR, Latitude: None, Longitude: None
Município: REALEZA, PR, Latitude: -25.7720262, Longitude: -53.5338306
Município: REBOUCAS, PR, Latitude: -25.6259339, Longitude: -50.6946598
Município: RIO AZUL, PR, Latitude: -25.726644, Longitude: -50.790534
Município: RIO BONITO DO IGUACU, PR, Latitude: -25.4903906, Longitude: -52.5262069
Município: RIO BRANCO DO SUL, PR, Latitude: -25.1885374, Longitude: -49.3119082
Município: RIO NEGRO, PR, Latitude: -26.1047668, Longitude: -49.7982766
Município: ROLANDIA, PR, Latitude: -23.3119901, Longitude: -51.3674145
Município: RONCADOR, PR, Latitude: -24.5952165, Longitude: -52.2710073
Município: SANTA LUCIA, PR, Latitude: -25.4079427, Longitude: -53.5677252
Município: MARECHAL CANDIDO RONDON, PR, Latitude: -24.5582532, Longitude: -54.0587821
Município: MANGUEIRINHA, PR, Latitude: -25.9412009, Longitude: -52.1740852
Município: MANDIRITUBA, PR, Latitude: -25.7772457, Longitude: -49.3279107
Município: CIANORTE, PR, Latitude: -23.662036, Longitude: -52.6103989
Município: CONSELHEIRO MAIRINCK, PR, Latitude: -23.6229983, Longitude: -50.1706779
Município: CONTENDA, PR, Latitude: -25.678811, Longitude: -49.535044
Município: CORBELIA, PR, Latitude: -24.7951117, Longitude: -53.2961804
Município: CORNELIO PROCOPIO, PR, Latitude: -23.1825218, Longitude: -50.6499263
Município: CORONEL VIVIDA, PR, Latitude: -25.9803771, Longitude: -52.5654277
Município: CRUZEIRO DO OESTE, PR, Latitude: -23.7839582, Longitude: -53.0709425
Município: CURITIBA, PR, Latitude: -25.4295963, Longitude: -49.2712724
Município: DIAMANTE DO SUL, PR, Latitude: -25.0436147, Longitude: -52.6800923
Município: FAROL, PR, Latitude: -24.0935055, Longitude: -52.6232183
Município: FAZENDA RIO GRANDE, PR, Latitude: -25.645841, Longitude: -49.3126653
Município: FERNANDES PINHEIRO, PR, Latitude: -25.4148066, Longitude: -50.5489837
Município: FLOR DA SERRA DO SUL, PR, Latitude: -26.2589553, Longitude: -53.308432
Município: FOZ DO IGUACU, PR, Latitude: -25.5401479, Longitude: -54.5858139
Município: FOZ DO JORDAO, PR, Latitude: -25.7377144, Longitude: -52.1209188
Município: FRANCISCO ALVES, PR, Latitude: -24.0694395, Longitude: -53.844348
Município: COLOMBO, PR, Latitude: -25.2925439, Longitude: -49.2243472
Município: CHOPINZINHO, PR, Latitude: -25.8566167, Longitude: -52.5294107
Município: MANDAGUARI, PR, Latitude: -23.5224849, Longitude: -51.6787511
Município: CEU AZUL, PR, Latitude: -25.1484973, Longitude: -53.8494214
Município: CAMBE, PR, Latitude: -23.2782035, Longitude: -51.2779583
Município: CAMBIRA, PR, Latitude: -23.6002773, Longitude: -51.5809914
Município: CAMPINA DA LAGOA, PR, Latitude: -24.5937926, Longitude: -52.8038965
Município: CAMPINA GRANDE DO SUL, PR, Latitude: -25.3046032, Longitude: -49.0545355
Município: CAMPO BONITO, PR, Latitude: -25.0328004, Longitude: -52.992976
Município: CAMPO DO TENENTE, PR, Latitude: -25.9814143, Longitude: -49.684518
Município: CAMPO LARGO, PR, Latitude: -25.4597726, Longitude: -49.5270851
Município: CAMPO MOURAO, PR, Latitude: -24.046329, Longitude: -52.37802
Município: CANDOI, PR, Latitude: -25.5711951, Longitude: -52.051107
Município: CANTAGALO, PR, Latitude: -25.3735238, Longitude: -52.1238114
Município: CAPANEMA, PR, Latitude: -25.6704878, Longitude: -53.8083036
Município: CAPITAO LEONIDAS MARQUES, PR, Latitude: -25.481645, Longitude: -53.611238
Município: CASCAVEL, PR, Latitude: -24.9554996, Longitude: -53.4560544
Município: CATANDUVAS, PR, Latitude: -25.2043528, Longitude: -53.154826
Município: CERRO AZUL, PR, Latitude: -24.8245108, Longitude: -49.2615181
Município: FRANCISCO BELTRAO, PR, Latitude: -26.0790979, Longitude: -53.0533527
Município: GENERAL CARNEIRO, PR, Latitude: -26.422982, Longitude: -51.3146691
Município: GOIO-ERE, PR, Latitude: -24.1851885, Longitude: -53.0250623
Município: GOIOERE, PR, Latitude: -24.1851885, Longitude: -53.0250623
Município: JACAREZINHO, PR, Latitude: -23.159115, Longitude: -49.973889
Município: JANDAIA DO SUL, PR, Latitude: -23.6003907, Longitude: -51.645674
Município: JANIOPOLIS, PR, Latitude: -24.140124, Longitude: -52.77836
Município: JAPIRA, PR, Latitude: -23.8119773, Longitude: -50.1397133
Município: JATAIZINHO, PR, Latitude: -23.257815, Longitude: -50.977748
Município: JURANDA, PR, Latitude: -24.420866, Longitude: -52.841344
Município: LAPA, PR, Latitude: -12.9823694, Longitude: -38.5122905
Município: LARANJEIRAS DO SUL, PR, Latitude: -25.4073197, Longitude: -52.4150132
Município: LINDOESTE, PR, Latitude: -25.2608275, Longitude: -53.5758136
Município: LOANDA, PR, Latitude: -22.9320944, Longitude: -53.1352452
Município: LONDRINA, PR, Latitude: -23.3112878, Longitude: -51.1595023
Município: LUIZIANA, PR, Latitude: -24.2838237, Longitude: -52.2767531
Município: MALLET, PR, Latitude: -25.8829457, Longitude: -50.8289338
Município: MAMBORE, PR, Latitude: -24.3084433, Longitude: -52.5298446
Município: MANDAGUACU, PR, Latitude: -23.3485076, Longitude: -52.0966215
Município: IVAI, PR, Latitude: -25.0069795, Longitude: -50.8568896
Município: IRETAMA, PR, Latitude: -24.4205941, Longitude: -52.1013532
Município: IRATI, PR, Latitude: -25.469663, Longitude: -50.649287
Município: GUARATUBA, PR, Latitude: -25.8806192, Longitude: -48.5750905
Município: GUAIRA, PR, Latitude: -24.0851924, Longitude: -54.2567519
Município: GUAIRACA, PR, Latitude: -22.9352304, Longitude: -52.6865101
Município: GUAMIRANGA, PR, Latitude: -25.1909033, Longitude: -50.8116961
Município: GUAPIRAMA, PR, Latitude: -23.5164582, Longitude: -50.0431538
Município: GUARANIACU, PR, Latitude: -25.10035, Longitude: -52.867811
Município: GUARAPUAVA, PR, Latitude: -25.3950986, Longitude: -51.4622016
Município: IBAITI, PR, Latitude: -23.8452962, Longitude: -50.1905666
Município: IPIRANGA, PR, Latitude: -25.0239759, Longitude: -50.5854615
Município: IBEMA, PR, Latitude: -25.1192916, Longitude: -53.0071928
Município: IBIPORA, PR, Latitude: -23.2684137, Longitude: -51.0475907
Município: ICARAIMA, PR, Latitude: -23.3948345, Longitude: -53.6162036
Município: IGUARACU, PR, Latitude: -23.1972911, Longitude: -51.8244524
Município: IMBAU, PR, Latitude: -24.447597, Longitude: -50.7557188
Município: IMBITUVA, PR, Latitude: -25.2293338, Longitude: -50.6051002
Município: TUNAS DO PARANA, PR, Latitude: -24.9761456, Longitude: -49.0854528
Município: UBIRATA, PR, Latitude: -24.542725, Longitude: -52.9899678
Município: TABOLEIRO GRANDE, RN, Latitude: -5.9289208, Longitude: -38.044508
Município: GOIANINHA, RN, Latitude: -6.2663538, Longitude: -35.2092447
Município: GUAMARE, RN, Latitude: -5.1075611, Longitude: -36.3195361
Município: IELMO MARINHO, RN, Latitude: -5.8228157, Longitude: -35.5527494
Município: IPANGUACU, RN, Latitude: -5.5090713, Longitude: -36.8594421
Município: ITAJA, RN, Latitude: -5.6374673, Longitude: -36.8713272
Município: ITAU, RN, Latitude: -5.8413626, Longitude: -37.9913221
Município: JANDAIRA, RN, Latitude: -5.3556267, Longitude: -36.1279455
Município: JANDUIS, RN, Latitude: -5.997218999999999, Longitude: -37.47227286818084
Município: JARDIM DO SERIDO, RN, Latitude: -6.59043, Longitude: -36.7736039
Município: JOAO CAMARA, RN, Latitude: -5.5349637, Longitude: -35.8150811
Município: JOSE DA PENHA, RN, Latitude: -6.3188, Longitude: -38.2853568
Município: JUCURUTU, RN, Latitude: -6.0343518, Longitude: -37.0186249
Município: LAJES, RN, Latitude: -5.7014079, Longitude: -36.246219
Município: LAJES PINTADAS, RN, Latitude: -6.1497352, Longitude: -36.1166085
Município: LUIS GOMES, RN, Latitude: -6.4141793, Longitude: -38.3872939
Município: MACAIBA, RN, Latitude: -5.8561372, Longitude: -35.3523774
Município: GOVERNADOR DIX-SEPT ROSADO, RN, Latitude: -5.4577723, Longitude: -37.5207493
Município: FRUTUOSO GOMES, RN, Latitude: -6.1585113, Longitude: -37.8408614
Município: MAJOR SALES, RN, Latitude: -6.4063378, Longitude: -38.3226605
Município: FLORANIA, RN, Latitude: -6.1268685, Longitude: -36.8183238
Município: ASSU, RN, Latitude: -5.5836157, Longitude: -36.9139541
Município: AUGUSTO SEVERO, RN, Latitude: -5.8697839, Longitude: -35.3609613
Município: BAIA FORMOSA, RN, Latitude: -6.3691885, Longitude: -35.0063741
Município: BOM JESUS, RN, Latitude: -5.9887544, Longitude: -35.5821149
Município: CAICARA DO NORTE, RN, Latitude: -5.0645017, Longitude: -36.0561226
Município: CAICARA DO RIO DO VENTO, RN, Latitude: -5.757968, Longitude: -36.00089
Município: CAICO, RN, Latitude: -6.4594544, Longitude: -37.0971911
Município: CAMPO GRANDE, RN, Latitude: -5.862063, Longitude: -37.3134908
Município: CAMPO REDONDO, RN, Latitude: -6.2420373, Longitude: -36.1830606
Município: CANGUARETAMA, RN, Latitude: -6.3751942, Longitude: -35.137463
Município: CEARA-MIRIM, RN, Latitude: -5.6322688, Longitude: -35.4213484
Município: CURRAIS NOVOS, RN, Latitude: -6.2626676, Longitude: -36.5173039
Município: EXTREMOZ, RN, Latitude: -5.7057628, Longitude: -35.3034765
Município: FELIPE GUERRA, RN, Latitude: -5.5981386, Longitude: -37.6962757
Município: FERNANDO PEDROZA, RN, Latitude: -5.6972558, Longitude: -36.5316864
Município: MACAU, RN, Latitude: -5.1131698, Longitude: -36.6350676
Município: MARCELINO VIEIRA, RN, Latitude: -6.2938597, Longitude: -38.1622228
Município: UNIAO DA VITORIA, PR, Latitude: -26.228596, Longitude: -51.0869796
Município: SANTA MARIA, RN, Latitude: -5.838022, Longitude: -35.691409
Município: SAO FERNANDO, RN, Latitude: -6.379745, Longitude: -37.186362
Município: SAO FRANCISCO DO OESTE, RN, Latitude: -5.9995802, Longitude: -38.1679964
Município: SAO GONCALO DO AMARANTE, RN, Latitude: -5.7932331, Longitude: -35.3286312
Município: SAO JOSE DE MIPIBU, RN, Latitude: -6.0746867, Longitude: -35.2370184
Município: SAO PAULO DO POTENGI, RN, Latitude: -5.8941684, Longitude: -35.7648309
Município: SAO PEDRO, RN, Latitude: -5.8965573, Longitude: -35.6340558
Município: SAO RAFAEL, RN, Latitude: -5.8022027, Longitude: -36.8835945
Município: SAO TOME, RN, Latitude: -5.9726443, Longitude: -36.0736804
Município: SAO VICENTE, RN, Latitude: -6.2166906, Longitude: -36.6823094
Município: SENADOR ELOI DE SOUZA, RN, Latitude: -6.0357055, Longitude: -35.6923151
Município: SENADOR GEORGINO AVELINO, RN, Latitude: -6.1632427, Longitude: -35.1233332
Município: SERRA CAIADA, RN, Latitude: -6.1070196, Longitude: -35.7086685
Município: SERRA NEGRA DO NORTE, RN, Latitude: -6.6627568, Longitude: -37.4010583
Município: SERRINHA, RN, Latitude: -6.2783153, Longitude: -35.4958285
Município: SERRINHA DOS PINTOS, RN, Latitude: -6.112315, Longitude: -37.9566189
Município: SANTANA DO MATOS, RN, Latitude: -5.9468972, Longitude: -36.6502541
Município: SANTA CRUZ, RN, Latitude: -6.224752, Longitude: -36.019297
Município: MARTINS, RN, Latitude: -6.0892841, Longitude: -37.9114676
Município: RODOLFO FERNANDES, RN, Latitude: -5.7897503, Longitude: -38.0607459
Município: MAXARANGUAPE, RN, Latitude: -5.5175989, Longitude: -35.2585401
Município: MESSIAS TARGINO, RN, Latitude: -6.0772948, Longitude: -37.511712
Município: MOSSORO, RN, Latitude: -5.1904332, Longitude: -37.3443872
Município: NATAL, RN, Latitude: -5.805398, Longitude: -35.2080905
Município: NISIA FLORESTA, RN, Latitude: -6.0902674, Longitude: -35.2085026
Município: PARAU, RN, Latitude: -5.7760443, Longitude: -37.1012637
Município: PARNAMIRIM, RN, Latitude: -5.9153334, Longitude: -35.2679913
Município: PATU, RN, Latitude: -6.1006213, Longitude: -37.6385148
Município: PAU DOS FERROS, RN, Latitude: -6.1124964, Longitude: -38.2062628
Município: PEDRO AVELINO, RN, Latitude: -5.5218651, Longitude: -36.3850166
Município: POCO BRANCO, RN, Latitude: -5.6224378, Longitude: -35.6615774
Município: RAFAEL FERNANDES, RN, Latitude: -6.1892485, Longitude: -38.2238647
Município: RIACHO DE SANTANA, RN, Latitude: -6.2633948, Longitude: -38.3143424
Município: RIACHUELO, RN, Latitude: -5.8121386, Longitude: -35.8234357
Município: RIO DO FOGO, RN, Latitude: -5.2748534, Longitude: -35.3825802
Município: ARES, RN, Latitude: -6.1969216, Longitude: -35.1642968
Município: AREIA BRANCA, RN, Latitude: -4.9506652, Longitude: -37.1263312
Município: APODI, RN, Latitude: -5.6631109, Longitude: -37.796927
Município: COMENDADOR LEVY GASPARIAN, RJ, Latitude: -22.028685, Longitude: -43.204655
Município: DUQUE DE CAXIAS, RJ, Latitude: -22.7896225, Longitude: -43.309929
Município: GUAPIMIRIM, RJ, Latitude: -22.5266308, Longitude: -42.9790687
Município: ITABORAI, RJ, Latitude: -22.7496231, Longitude: -42.8557428
Município: ITAGUAI, RJ, Latitude: -22.8629597, Longitude: -43.775322
Município: ITALVA, RJ, Latitude: -21.4214056, Longitude: -41.6907956
Município: ITAPERUNA, RJ, Latitude: -21.1934, Longitude: -41.8995
Município: ITATIAIA, RJ, Latitude: -22.4955278, Longitude: -44.5633108
Município: JAPERI, RJ, Latitude: -22.6427642, Longitude: -43.6533831
Município: LAJE DO MURIAE, RJ, Latitude: -21.2082595, Longitude: -42.1226959
Município: MACAE, RJ, Latitude: -22.3712958, Longitude: -41.7866922
Município: MAGE, RJ, Latitude: -22.6604221, Longitude: -43.0426162
Município: MANGARATIBA, RJ, Latitude: -22.9600193, Longitude: -44.04111
Município: MESQUITA, RJ, Latitude: -22.783092, Longitude: -43.4293599
Município: NATIVIDADE, RJ, Latitude: -21.0428, Longitude: -41.9777
Município: NILOPOLIS, RJ, Latitude: -22.8080114, Longitude: -43.4138222
Município: CONCEICAO DE MACABU, RJ, Latitude: -22.0832, Longitude: -41.8736
Município: CASIMIRO DE ABREU, RJ, Latitude: -22.485, Longitude: -42.2026
Município: ANTONIO MARTINS, RN, Latitude: -6.2155812, Longitude: -37.8890129
Município: CARMO, RJ, Latitude: -21.9338, Longitude: -42.6084
Município: URAI, PR, Latitude: -23.199997, Longitude: -50.793873
Município: VENTANIA, PR, Latitude: -24.2470771, Longitude: -50.245452
Município: VERA CRUZ DO OESTE, PR, Latitude: -25.058614, Longitude: -53.8785648
Município: VILA ALTA, PR, Latitude: -22.8998687, Longitude: -43.3449691
Município: VIRMOND, PR, Latitude: -25.3816653, Longitude: -52.2034599
Município: ANGRA DOS REIS, RJ, Latitude: -23.0063966, Longitude: -44.316326
Município: ARARUAMA, RJ, Latitude: -22.8733203, Longitude: -42.3428897
Município: AREAL, RJ, Latitude: -22.2314922, Longitude: -43.1056264
Município: BARRA DO PIRAI, RJ, Latitude: -22.4703403, Longitude: -43.8263256
Município: BARRA MANSA, RJ, Latitude: -22.5394843, Longitude: -44.1735129
Município: BELFORD ROXO, RJ, Latitude: -22.7667284, Longitude: -43.4033603
Município: BOM JESUS DO ITABAPOANA, RJ, Latitude: -21.1369, Longitude: -41.6775
Município: CAMPOS DOS GOYTACAZES, RJ, Latitude: -21.7546, Longitude: -41.3242
Município: CARAPEBUS, RJ, Latitude: -22.1869969, Longitude: -41.6633764
Município: CARDOSO MOREIRA, RJ, Latitude: -21.4894916, Longitude: -41.6152776
Município: NITEROI, RJ, Latitude: -22.8884, Longitude: -43.1147
Município: NOVA FRIBURGO, RJ, Latitude: -22.2800004, Longitude: -42.5325303
Município: NOVA IGUACU, RJ, Latitude: -22.7592175, Longitude: -43.4508728
Município: PARACAMBI, RJ, Latitude: -22.6109158, Longitude: -43.7096912
Município: SAO JOAO DE MERITI, RJ, Latitude: -22.8043744, Longitude: -43.3724125
Município: SAO JOSE DO VALE DO RIO PRETO, RJ, Latitude: -22.1509994, Longitude: -42.9239986
Município: SAPUCAIA, RJ, Latitude: -21.9946569, Longitude: -42.9137975
Município: SEROPEDICA, RJ, Latitude: -22.7438887, Longitude: -43.6991998
Município: SILVA JARDIM, RJ, Latitude: -22.6509706, Longitude: -42.3947353
Município: SUMIDOURO, RJ, Latitude: -22.0455, Longitude: -42.6735
Município: TANGUA, RJ, Latitude: -22.7353777, Longitude: -42.7202272
Município: TERESOPOLIS, RJ, Latitude: -22.4164578, Longitude: -42.975194
Município: TRES RIOS, RJ, Latitude: -22.1167884, Longitude: -43.2087226
Município: VASSOURAS, RJ, Latitude: -22.4093928, Longitude: -43.6609318
Município: VOLTA REDONDA, RJ, Latitude: -22.521856, Longitude: -44.1040128
Município: ACARI, RN, Latitude: -6.4364689, Longitude: -36.6394777
Município: ACU, RN, Latitude: -5.5836157, Longitude: -36.9139541
Município: ALMINO AFONSO, RN, Latitude: -6.1544208, Longitude: -37.7649018
Município: ANGICOS, RN, Latitude: -5.6666344, Longitude: -36.6009064
Município: SAO JOAO DA BARRA, RJ, Latitude: -21.6348588, Longitude: -41.0487079
Município: SAO GONCALO, RJ, Latitude: -22.8219014, Longitude: -43.0309252
Município: SANTA MARIA MADALENA, RJ, Latitude: -21.9557957, Longitude: -42.008283
Município: PORTO REAL, RJ, Latitude: -22.4195607, Longitude: -44.2896491
Município: PARAIBA DO SUL, RJ, Latitude: -22.1636384, Longitude: -43.2916915
Município: PARATI, RJ, Latitude: -23.2196461, Longitude: -44.7154196
Município: PARATY, RJ, Latitude: -23.2196461, Longitude: -44.7154196
Município: PETROPOLIS, RJ, Latitude: -22.5075743, Longitude: -43.1785356
Município: PINHEIRAL, RJ, Latitude: -22.5129436, Longitude: -44.001435
Município: PIRAI, RJ, Latitude: -22.6287489, Longitude: -43.8981758
Município: QUATIS, RJ, Latitude: -22.4066444, Longitude: -44.2577453
Município: RIO DE JANEIRO, RJ, Latitude: -22.9110137, Longitude: -43.2093727
Município: QUEIMADOS, RJ, Latitude: -22.7156978, Longitude: -43.555754
Município: QUISSAMA, RJ, Latitude: -22.107205, Longitude: -41.4723411
Município: RESENDE, RJ, Latitude: -22.4683626, Longitude: -44.4463494
Município: RIO BONITO, RJ, Latitude: -22.7108378, Longitude: -42.6271864
Município: RIO DAS FLORES, RJ, Latitude: -22.1683478, Longitude: -43.5858689
Município: RIO DAS OSTRAS, RJ, Latitude: -22.5269448, Longitude: -41.944972
Município: CAMBARA, PR, Latitude: -23.042273, Longitude: -50.075281
Município: CALIFORNIA, PR, Latitude: -23.6672543, Longitude: -51.3554556
Município: CAFELANDIA, PR, Latitude: -24.6176963, Longitude: -53.3218057
Município: CACHOEIRINHA, PE, Latitude: -8.4906364, Longitude: -36.2338963
Município: CALCADO, PE, Latitude: -8.7413446, Longitude: -36.3351787
Município: CALUMBI, PE, Latitude: -7.9396706, Longitude: -38.1525186
Município: CAMARAGIBE, PE, Latitude: -8.0213832, Longitude: -34.9810768
Município: CAPOEIRAS, PE, Latitude: -8.7386788, Longitude: -36.6268109
Município: CARPINA, PE, Latitude: -7.8459105, Longitude: -35.2538861
Município: CARUARU, PE, Latitude: -8.2829702, Longitude: -35.9722852
Município: CHA GRANDE, PE, Latitude: -8.238271, Longitude: -35.457148
Município: CORRENTES, PE, Latitude: -9.1295585, Longitude: -36.3287438
Município: CUPIRA, PE, Latitude: -8.6053148, Longitude: -35.9530366
Município: CUSTODIA, PE, Latitude: -8.0860251, Longitude: -37.6400307
Município: ESCADA, PE, Latitude: -8.3623847, Longitude: -35.2366232
Município: FLORES, PE, Latitude: -7.862025, Longitude: -37.9742806
Município: FLORESTA, PE, Latitude: -8.5969798, Longitude: -38.5742878
Município: GAMELEIRA, PE, Latitude: -8.579803, Longitude: -35.384573
Município: GARANHUNS, PE, Latitude: -8.8905889, Longitude: -36.4930896
Município: CAETES, PE, Latitude: -8.7728788, Longitude: -36.6255835
Município: CABROBO, PE, Latitude: -8.5083701, Longitude: -39.3106961
Município: GRAVATA, PE, Latitude: -8.1993049, Longitude: -35.5631137
Município: CABO DE SANTO AGOSTINHO, PE, Latitude: -8.2838945, Longitude: -35.0320984
Município: AGUA PRETA, PE, Latitude: -8.7079109, Longitude: -35.5198586
Município: AGUAS BELAS, PE, Latitude: -9.1113156, Longitude: -37.1225218
Município: ALIANCA, PE, Latitude: -7.6026425, Longitude: -35.2263514
Município: ALTINHO, PE, Latitude: -8.4904095, Longitude: -36.0607494
Município: AMARAJI, PE, Latitude: -8.373925, Longitude: -35.4536527
Município: ARARIPINA, PE, Latitude: -7.5768582, Longitude: -40.5038509
Município: ARCOVERDE, PE, Latitude: -8.415192, Longitude: -37.057748
Município: BELEM DE MARIA, PE, Latitude: -8.6242497, Longitude: -35.8388934
Município: BELEM DE SAO FRANCISCO, PE, Latitude: -8.62394575, Longitude: -38.85530060304218
Município: BELO JARDIM, PE, Latitude: -8.3338293, Longitude: -36.4176419
Município: BEZERROS, PE, Latitude: -8.2372132, Longitude: -35.7558262
Município: BODOCO, PE, Latitude: -7.777592, Longitude: -39.933797
Município: BREJAO, PE, Latitude: -9.029146, Longitude: -36.566034
Município: BUENOS AIRES, PE, Latitude: -7.7218931, Longitude: -35.326587
Município: BUIQUE, PE, Latitude: -8.6239732, Longitude: -37.157296
Município: GOIANA, PE, Latitude: -7.560603, Longitude: -34.99591
Município: IATI, PE, Latitude: -9.0426669, Longitude: -36.8466803
Município: BOM SUCESSO DO SUL, PR, Latitude: -26.0749256, Longitude: -52.8348629
Município: NAZARE DA MATA, PE, Latitude: -7.7452689, Longitude: -35.2286396
Município: OROCO, PE, Latitude: -8.6147294, Longitude: -39.6036682
Município: OURICURI, PE, Latitude: -7.884432, Longitude: -40.0833221
Município: PALMARES, PE, Latitude: -8.684226, Longitude: -35.589032
Município: PANELAS, PE, Latitude: -8.661211, Longitude: -36.012539
Município: PARANATAMA, PE, Latitude: -8.9198099, Longitude: -36.6573512
Município: PARNAMIRIM, PE, Latitude: -8.0913471, Longitude: -39.5778505
Município: PAUDALHO, PE, Latitude: -7.90287, Longitude: -35.171639
Município: PAULISTA, PE, Latitude: -7.9340069, Longitude: -34.868407
Município: PEDRA, PE, Latitude: -8.4995589, Longitude: -36.944377
Município: PESQUEIRA, PE, Latitude: -8.3574471, Longitude: -36.6968238
Município: PETROLANDIA, PE, Latitude: -8.9701861, Longitude: -38.2213655
Município: PETROLINA, PE, Latitude: -9.3817334, Longitude: -40.4968875
